"","statistic","p.value","parameter","method","p_BH","significant"
"X84037_303.216_10.771_NA",5.12080535033076,0.528415051434566,6,"Kruskal-Wallis rank sum test",0.728262793336831,"Nonsignificant"
"X91_423.954_0.546_NA",5.11646971557184,0.52896426773811,6,"Kruskal-Wallis rank sum test",0.728909233445726,"Nonsignificant"
"X88994_568.426_11.864_NA;Massbank:MSJ00116 Zeaxanthin",5.11349001642825,0.529341871676022,6,"Kruskal-Wallis rank sum test",0.72931903277442,"Nonsignificant"
"X70782_228.196_9.283_NA;MUCIC ACID",5.11268416206258,0.529444015051429,6,"Kruskal-Wallis rank sum test",0.729349240128423,"Nonsignificant"
"X71981_757.463_9.427_NA",5.11137712297921,0.529609703463826,6,"Kruskal-Wallis rank sum test",0.729466963171202,"Nonsignificant"
"X86096_474.357_11.038_NA",5.10856353591157,0.529966451150572,6,"Kruskal-Wallis rank sum test",0.729847769442745,"Nonsignificant"
"X79613_595.414_10.258_NA",5.1073410434558,0.530121490565537,6,"Kruskal-Wallis rank sum test",0.729950718192013,"Nonsignificant"
"X1615_195.959_0.819_NA",5.10639401465252,0.53024160914719,6,"Kruskal-Wallis rank sum test",0.73000555880773,"Nonsignificant"
"X53898_414.3_6.966_NA",5.10510282381824,0.53040540016843,6,"Kruskal-Wallis rank sum test",0.730033198884794,"Nonsignificant"
"X18438_376.16_3.627_NA",5.10496981788413,0.530422273628789,6,"Kruskal-Wallis rank sum test",0.730033198884794,"Nonsignificant"
"X83531_372.347_10.719_NA",5.10378504941459,0.530572586990197,6,"Kruskal-Wallis rank sum test",0.730129553642329,"Nonsignificant"
"X49751_303.231_6.49_NA",5.10213576836497,0.530781865824386,6,"Kruskal-Wallis rank sum test",0.730239633880135,"Nonsignificant"
"X91820_576.459_12.833_NA",5.10131484531797,0.530886047426729,6,"Kruskal-Wallis rank sum test",0.730239633880135,"Nonsignificant"
"X87427_419.294_11.308_NA",5.10125588295477,0.530893530570578,6,"Kruskal-Wallis rank sum test",0.730239633880135,"Nonsignificant"
"X7279_446.166_2.512_NA",5.10033507264177,0.531010400383027,6,"Kruskal-Wallis rank sum test",0.73028990474701,"Nonsignificant"
"X30150_476.306_4.694_NA",5.0984086646028,0.531254938819213,6,"Kruskal-Wallis rank sum test",0.730515714419886,"Nonsignificant"
"X81845_385.256_10.534_NA",5.09708358968585,0.531423173430288,6,"Kruskal-Wallis rank sum test",0.730562979212699,"Nonsignificant"
"X8572_293.149_2.681_NA",5.09656230816449,0.531489363128541,6,"Kruskal-Wallis rank sum test",0.730562979212699,"Nonsignificant"
"X41125_365.196_5.634_NA",5.09571311643128,0.531597197159815,6,"Kruskal-Wallis rank sum test",0.730562979212699,"Nonsignificant"
"X89420_938.284_11.999_NA;(3S,4R,6aR,6bS,8aS,11R,12R,12aS,14bR)-3,12-dihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,11,12a,14,14a-tetradecahydropicene-4-carboxylic acid",5.09541142201487,0.531635509989435,6,"Kruskal-Wallis rank sum test",0.730562979212699,"Nonsignificant"
"X10381_243.141_2.882_NA",5.09497391037451,0.531691072750817,6,"Kruskal-Wallis rank sum test",0.730562979212699,"Nonsignificant"
"X91362_565.399_12.636_NA",5.09169492545544,0.532107577820247,6,"Kruskal-Wallis rank sum test",0.730979544573012,"Nonsignificant"
"X80341_760.541_10.343_NA",5.09132136279925,0.532155038003604,6,"Kruskal-Wallis rank sum test",0.730979544573012,"Nonsignificant"
"X36244_369.154_5.276_NA",5.08968436668704,0.532363036589505,6,"Kruskal-Wallis rank sum test",0.731154792850722,"Nonsignificant"
"X35482_363.143_5.055_NA",5.08823409044396,0.532547340790591,6,"Kruskal-Wallis rank sum test",0.731297450908934,"Nonsignificant"
"X11216_367.138_2.975_NA",5.08741303458157,0.532651694996677,6,"Kruskal-Wallis rank sum test",0.731330294610357,"Nonsignificant"
"X84316_355.245_10.802_NA",5.08560478209122,0.532881551782075,6,"Kruskal-Wallis rank sum test",0.731535417303733,"Nonsignificant"
"X83570_339.289_10.73_NA;Spectral Match to cis-8,11,14-Eicosatrienoic acid from NIST14",5.08431297319419,0.53304578779232,6,"Kruskal-Wallis rank sum test",0.731650408002381,"Nonsignificant"
"X83062_274.216_10.799_NA",5.08179864947817,0.533365514866178,6,"Kruskal-Wallis rank sum test",0.731978756402006,"Nonsignificant"
"X90222_704.545_12.259_NA;DG(20:4_18:0)",5.08066042561893,0.533510282125993,6,"Kruskal-Wallis rank sum test",0.73206693104279,"Nonsignificant"
"X34054_435.164_5.032_NA",5.07886228770201,0.533739017571342,6,"Kruskal-Wallis rank sum test",0.73227028033177,"Nonsignificant"
"X64107_336.216_8.285_NA",5.07505627174135,0.534223312883648,6,"Kruskal-Wallis rank sum test",0.732817620035056,"Nonsignificant"
"X7471_278.175_2.541_NA",5.07446030284427,0.534299164453628,6,"Kruskal-Wallis rank sum test",0.732817620035056,"Nonsignificant"
"X2742_297.144_1.14_NA",5.0723731328012,0.534564845439217,6,"Kruskal-Wallis rank sum test",0.733071429069889,"Nonsignificant"
"X11919_414.175_3.057_NA",5.0698588090853,0.534884977702406,6,"Kruskal-Wallis rank sum test",0.733286020808568,"Nonsignificant"
"X19530_460.182_3.891_NA",5.06882289748307,0.535016898212001,6,"Kruskal-Wallis rank sum test",0.733286020808568,"Nonsignificant"
"X87290_593.376_11.309_NA;Pheophorbide A",5.06873337425816,0.535028299426413,6,"Kruskal-Wallis rank sum test",0.733286020808568,"Nonsignificant"
"X84032_327.252_10.766_NA",5.06861059954974,0.535043935552578,6,"Kruskal-Wallis rank sum test",0.733286020808568,"Nonsignificant"
"X40642_432.186_5.593_NA",5.06470227133207,0.535541791241109,6,"Kruskal-Wallis rank sum test",0.733854837065411,"Nonsignificant"
"X65907_180.138_8.549_NA",5.06408529504416,0.535620402415978,6,"Kruskal-Wallis rank sum test",0.733854837065411,"Nonsignificant"
"X55884_333.169_7.236_NA",5.06322641702479,0.535729843647171,6,"Kruskal-Wallis rank sum test",0.733894189911116,"Nonsignificant"
"X38057_344.17_5.368_NA",5.05980918764078,0.536165376627212,6,"Kruskal-Wallis rank sum test",0.734380175398405,"Nonsignificant"
"X76825_237.185_9.966_NA;Massbank:AC000107 5-hydroxyculmorin|(1S,3R,3aS,4R,6R,8aR,9R)-Decahydro-1,5,5,8a-tetramethyl-1,4-methanoazulene-3,6,9-triol",5.05467311233883,0.536820273220512,6,"Kruskal-Wallis rank sum test",0.735112443444877,"Nonsignificant"
"X57396_629.416_7.401_NA",5.05434827092279,0.536861705287504,6,"Kruskal-Wallis rank sum test",0.735112443444877,"Nonsignificant"
"X91505_333.213_12.695_NA",5.05305154622559,0.537027110695692,6,"Kruskal-Wallis rank sum test",0.735228202145044,"Nonsignificant"
"X25216_300.195_4.388_NA",5.03960251688147,0.538743933718586,6,"Kruskal-Wallis rank sum test",0.737467606951127,"Nonsignificant"
"X82766_255.123_10.624_NA",5.03563229233538,0.539251205505958,6,"Kruskal-Wallis rank sum test",0.738050874674119,"Nonsignificant"
"X42387_395.17_5.676_NA",5.03387558829547,0.539475724034623,6,"Kruskal-Wallis rank sum test",0.738247032348403,"Nonsignificant"
"X68008_648.352_8.865_NA",5.03312813203015,0.539571266232759,6,"Kruskal-Wallis rank sum test",0.738266659531714,"Nonsignificant"
"X62455_352.248_8.048_NA;NCGC00380130-01_C15H26O4_1,2-Naphthalenedimethanol, 1,4,4a,5,6,7,8,8a-octahydro-1,4-dihydroxy-5,5,8a-trimethyl-",5.02818708438462,0.540203030602034,6,"Kruskal-Wallis rank sum test",0.738973367858641,"Nonsignificant"
"X43616_169.086_5.847_NA",5.02757059545729,0.540281877549962,6,"Kruskal-Wallis rank sum test",0.738973367858641,"Nonsignificant"
"X70635_329.005_9.264_NA",5.02718180888064,0.540331604655108,6,"Kruskal-Wallis rank sum test",0.738973367858641,"Nonsignificant"
"X12377_263.139_3.066_NA",5.02587476979738,0.540498793809786,6,"Kruskal-Wallis rank sum test",0.739090845738994,"Nonsignificant"
"X79694_685.355_10.267_NA",5.02387712297934,0.540754364744393,6,"Kruskal-Wallis rank sum test",0.739295345009141,"Nonsignificant"
"X91778_780.571_12.81_NA",5.02343472784657,0.540810970045732,6,"Kruskal-Wallis rank sum test",0.739295345009141,"Nonsignificant"
"X66563_470.238_8.641_NA",5.02201503990182,0.540992639051781,6,"Kruskal-Wallis rank sum test",0.739403489402019,"Nonsignificant"
"X66031_667.475_8.566_NA",5.02092029875178,0.541132744476378,6,"Kruskal-Wallis rank sum test",0.739403489402019,"Nonsignificant"
"X69332_315.122_9.093_NA",5.02091006752607,0.54113405394644,6,"Kruskal-Wallis rank sum test",0.739403489402019,"Nonsignificant"
"X66478_508.363_8.627_NA",5.01803509310412,0.541502068965243,6,"Kruskal-Wallis rank sum test",0.739795163190382,"Nonsignificant"
"X80716_400.305_10.39_NA",5.01516011868227,0.541870191324083,6,"Kruskal-Wallis rank sum test",0.740141889164055,"Nonsignificant"
"X82727_257.19_10.64_NA;Spectral Match to 12(13)-Epoxy-9Z-octadecenoic acid from NIST14",5.01478156333133,0.54191867093765,6,"Kruskal-Wallis rank sum test",0.740141889164055,"Nonsignificant"
"X27750_444.186_4.553_NA",5.01013658686315,0.542513679930258,6,"Kruskal-Wallis rank sum test",0.740843252917679,"Nonsignificant"
"X4638_250.143_2.065_NA",5.00828473501122,0.542750974921458,6,"Kruskal-Wallis rank sum test",0.741055993990974,"Nonsignificant"
"X78225_622.29_10.118_NA",5.00642265193369,0.542989625540282,6,"Kruskal-Wallis rank sum test",0.741153134501378,"Nonsignificant"
"X59505_237.148_7.651_NA;Massbank:NA001281 Pterosin A|(2S)-6-(2-hydroxyethyl)-2-(hydroxymethyl)-2,5,7-trimethyl-3H-inden-1-one",5.00590085942292,0.543056508179416,6,"Kruskal-Wallis rank sum test",0.741153134501378,"Nonsignificant"
"X84215_876.51_10.797_NA",5.00582156742371,0.543066672024657,6,"Kruskal-Wallis rank sum test",0.741153134501378,"Nonsignificant"
"X54268_349.164_6.854_NA",5.00432780847143,0.543258160879326,6,"Kruskal-Wallis rank sum test",0.741303196565336,"Nonsignificant"
"X69513_191.143_9.119_NA;Spectral Match to Sumaresinolic acid from NIST14",5.00361868894196,0.543349074810375,6,"Kruskal-Wallis rank sum test",0.741315994624238,"Nonsignificant"
"X88603_423.244_11.74_NA",5.00092851326661,0.54369403233486,6,"Kruskal-Wallis rank sum test",0.741582070609808,"Nonsignificant"
"X81520_599.364_10.48_NA",5.00082564973699,0.54370722422844,6,"Kruskal-Wallis rank sum test",0.741582070609808,"Nonsignificant"
"X34446_379.138_5.018_NA",4.99687947616121,0.544213409839146,6,"Kruskal-Wallis rank sum test",0.742161140281613,"Nonsignificant"
"X38058_339.144_5.239_NA",4.99527317372622,0.544419511395418,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X61251_378.212_7.899_NA",4.99373848987113,0.5446164545212,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X90047_998.287_12.114_NA;Contaminant vial septum ThermoFisher C5000-44B",4.99331645181098,0.544670619154739,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X43211_287.146_5.81_NA",4.99277873645791,0.544739633179667,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X68757_415.247_8.994_NA;Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14",4.9919377941477,0.544847572799672,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X74574_323.221_9.692_NA;NCGC00384809-01!5-[5-hydroxy-3-(hydroxymethyl)pentyl]-8a-(hydroxymethyl)-5,6-dimethyl-3,4,4a,6,7,8-hexahydronaphthalene-1-carboxylic acid [IIN-based on: CCMSLIB00000847958]",4.99174084305287,0.544872853871136,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X4628_291.133_2.133_NA",4.99127276447712,0.544932939441065,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X83809_458.252_10.748_NA",4.99096266900995,0.544972746823357,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X9705_442.17_2.949_NA",4.99035962758342,0.545050163590655,6,"Kruskal-Wallis rank sum test",0.742300192834966,"Nonsignificant"
"X88716_490.316_11.785_NA",4.98910631980613,0.545211074545332,6,"Kruskal-Wallis rank sum test",0.742408130862088,"Nonsignificant"
"X91084_893.554_12.699_NA",4.98219512999524,0.546098754020411,6,"Kruskal-Wallis rank sum test",0.7433795386561,"Nonsignificant"
"X86640_381.336_11.153_NA",4.98197004256654,0.546127674641422,6,"Kruskal-Wallis rank sum test",0.7433795386561,"Nonsignificant"
"X87505_760.219_11.268_NA",4.98164262328635,0.546169744635146,6,"Kruskal-Wallis rank sum test",0.7433795386561,"Nonsignificant"
"X70836_213.185_9.291_NA;Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14",4.97790311613724,0.546650328845134,6,"Kruskal-Wallis rank sum test",0.743922285565029,"Nonsignificant"
"X16929_460.182_3.55_NA",4.97679302230404,0.54679302699092,6,"Kruskal-Wallis rank sum test",0.74400511843781,"Nonsignificant"
"X60204_377.195_7.825_NA",4.97553713934929,0.546954484490422,6,"Kruskal-Wallis rank sum test",0.744113448000437,"Nonsignificant"
"X73233_213.185_9.58_NA;Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14",4.97392316524493,0.54716200771415,6,"Kruskal-Wallis rank sum test",0.744284406663233,"Nonsignificant"
"X5987_402.139_2.396_NA",4.97293840802126,0.547288642953273,6,"Kruskal-Wallis rank sum test",0.744300240788885,"Nonsignificant"
"X81999_368.279_10.531_NA",4.97237569060769,0.547361011296405,6,"Kruskal-Wallis rank sum test",0.744300240788885,"Nonsignificant"
"X43906_456.222_5.867_NA",4.97192295887044,0.547419237808543,6,"Kruskal-Wallis rank sum test",0.744300240788885,"Nonsignificant"
"X68350_450.269_8.923_NA",4.97048546987268,0.547604132513041,6,"Kruskal-Wallis rank sum test",0.744358529844182,"Nonsignificant"
"X9304_306.16_2.767_NA",4.97031665643544,0.547625847572342,6,"Kruskal-Wallis rank sum test",0.744358529844182,"Nonsignificant"
"X48225_333.169_6.347_NA",4.96895590341717,0.547800899026826,6,"Kruskal-Wallis rank sum test",0.744485168004768,"Nonsignificant"
"X88007_746.555_11.548_NA",4.96718590137107,0.548028632286754,6,"Kruskal-Wallis rank sum test",0.744683354468864,"Nonsignificant"
"X50915_423.201_6.68_NA",4.96524196848793,0.548278789179119,6,"Kruskal-Wallis rank sum test",0.744803780349621,"Nonsignificant"
"X11218_340.139_2.976_NA",4.96522406384281,0.548281093475585,6,"Kruskal-Wallis rank sum test",0.744803780349621,"Nonsignificant"
"X72733_449.221_9.509_NA",4.96113411996099,0.548807567067564,6,"Kruskal-Wallis rank sum test",0.745407588852449,"Nonsignificant"
"X41429_398.18_5.657_NA",4.95722324534472,0.54931118528869,6,"Kruskal-Wallis rank sum test",0.745850877303755,"Nonsignificant"
"X51955_178.122_6.741_NA",4.9569367710252,0.549348083161026,6,"Kruskal-Wallis rank sum test",0.745850877303755,"Nonsignificant"
"X52277_571.337_6.768_NA",4.95668866380197,0.549380040178536,6,"Kruskal-Wallis rank sum test",0.745850877303755,"Nonsignificant"
"X74657_756.472_9.73_NA;NCGC00380799-01!5-[5-[5-(3,5-dihydroxydecanoyloxy)-3-hydroxydecanoyl]oxy-3-hydroxydecanoyl]oxy-3-hydroxydecanoic acid",4.95566291527793,0.549512168044942,6,"Kruskal-Wallis rank sum test",0.7459188760622,"Nonsignificant"
"X75957_333.241_9.872_NA",4.94880995647329,0.550395240504738,6,"Kruskal-Wallis rank sum test",0.746948443192853,"Nonsignificant"
"X80061_359.221_10.226_NA;(3E,12E)-3,12-dimethyl-8-methylidene-6,18-dioxatricyclo[14.2.1.0?,?]nonadeca-3,12,16(19)-triene-7,17-dione",4.94776959279727,0.550529352607807,6,"Kruskal-Wallis rank sum test",0.746948443192853,"Nonsignificant"
"X44442_412.196_5.871_NA",4.94772866789447,0.550534628463933,6,"Kruskal-Wallis rank sum test",0.746948443192853,"Nonsignificant"
"X80688_532.383_10.367_NA",4.9472273378351,0.55059925937951,6,"Kruskal-Wallis rank sum test",0.746948443192853,"Nonsignificant"
"X47766_281.216_6.08_NA",4.94543687333737,0.550830109391909,6,"Kruskal-Wallis rank sum test",0.747090069875919,"Nonsignificant"
"X42686_316.227_5.747_NA",4.94455698792717,0.550943570166873,6,"Kruskal-Wallis rank sum test",0.747090069875919,"Nonsignificant"
"X3220_297.144_1.545_NA",4.94450583179866,0.550950167016942,6,"Kruskal-Wallis rank sum test",0.747090069875919,"Nonsignificant"
"X3585_234.112_1.741_NA",4.94219357479017,0.551248378274812,6,"Kruskal-Wallis rank sum test",0.747382978716759,"Nonsignificant"
"X47225_332.941_6.203_NA",4.94030847145484,0.551491548267941,6,"Kruskal-Wallis rank sum test",0.747519702978943,"Nonsignificant"
"X31223_255.122_4.719_NA",4.94013709842443,0.551513656795287,6,"Kruskal-Wallis rank sum test",0.747519702978943,"Nonsignificant"
"X81603_409.353_10.492_NA;2'-Hydroxy-a-naphthoflavone CollisionEnergy:102040",4.93728258645388,0.551881965244359,6,"Kruskal-Wallis rank sum test",0.747893004747507,"Nonsignificant"
"X43153_282.17_5.805_NA;""10,12-dihydroxy-9-methyl-4,13-dimethylene-6-oxatricyclo[7.4.0.0<3,7>]tridecan- 5-one CollisionEnergy:102040""",4.93672754245949,0.55195359237305,6,"Kruskal-Wallis rank sum test",0.747893004747507,"Nonsignificant"
"X43713_438.211_5.86_NA",4.93218743605473,0.552539623947473,6,"Kruskal-Wallis rank sum test",0.748575511984865,"Nonsignificant"
"X48018_328.227_6.066_NA",4.93040464497642,0.552769813329133,6,"Kruskal-Wallis rank sum test",0.748775796005434,"Nonsignificant"
"X62358_357.205_8.039_NA",4.9269695109474,0.553213458112511,6,"Kruskal-Wallis rank sum test",0.74926512157887,"Nonsignificant"
"X91167_1442.399_12.598_NA",4.92461564060516,0.553517541377216,6,"Kruskal-Wallis rank sum test",0.749565309234681,"Nonsignificant"
"X74823_455.384_9.753_NA",4.92252660118686,0.553787468914982,6,"Kruskal-Wallis rank sum test",0.749819161187642,"Nonsignificant"
"X6554_339.155_2.482_NA",4.91852619193776,0.554304514482667,6,"Kruskal-Wallis rank sum test",0.750407481488447,"Nonsignificant"
"X25422_428.191_4.247_NA",4.91695058317987,0.554508212086683,6,"Kruskal-Wallis rank sum test",0.750571484932577,"Nonsignificant"
"X47586_423.201_6.323_NA",4.91470227133209,0.554798929799981,6,"Kruskal-Wallis rank sum test",0.750853210738528,"Nonsignificant"
"X22553_276.195_4.122_NA",4.90924647022712,0.555504644247959,6,"Kruskal-Wallis rank sum test",0.751609291727848,"Nonsignificant"
"X89790_756.491_12.197_NA;SQDG(16:0/14:0); [M+NH4]+ C39H78N1O12S1",4.90881931655417,0.55555991216511,6,"Kruskal-Wallis rank sum test",0.751609291727848,"Nonsignificant"
"X90168_516.477_12.243_NA;Cer(d18:2/20:1); [M+H]+ C38H72N1O3",4.90846627367291,0.55560559279618,6,"Kruskal-Wallis rank sum test",0.751609291727848,"Nonsignificant"
"X1904_237.079_0.895_NA",4.90666301828783,0.555838941389069,6,"Kruskal-Wallis rank sum test",0.751710349470722,"Nonsignificant"
"X87830_778.561_11.476_NA",4.90661115515121,0.555845653265691,6,"Kruskal-Wallis rank sum test",0.751710349470722,"Nonsignificant"
"X6741_336.18_2.442_NA",4.90552230407195,0.555986574535969,6,"Kruskal-Wallis rank sum test",0.751789104057262,"Nonsignificant"
"X62269_558.223_8.023_NA",4.90451126141883,0.556117438366308,6,"Kruskal-Wallis rank sum test",0.751854237862672,"Nonsignificant"
"X1326_239.967_0.714_NA",4.90382392060576,0.556206410968668,6,"Kruskal-Wallis rank sum test",0.751862725026335,"Nonsignificant"
"X92_353.947_0.547_NA",4.90308983016166,0.556301441285245,6,"Kruskal-Wallis rank sum test",0.751879397081232,"Nonsignificant"
"X64853_396.237_8.571_NA",4.90234295068547,0.556398133775863,6,"Kruskal-Wallis rank sum test",0.751898310387953,"Nonsignificant"
"X4217_266.138_1.981_NA",4.89917894413747,0.556807825976726,6,"Kruskal-Wallis rank sum test",0.752340132825143,"Nonsignificant"
"X49391_365.196_6.451_NA",4.89746265602616,0.55703010977511,6,"Kruskal-Wallis rank sum test",0.752437520809184,"Nonsignificant"
"X1477_277.089_0.607_NA",4.8967302509299,0.557124977329864,6,"Kruskal-Wallis rank sum test",0.752437520809184,"Nonsignificant"
"X70971_403.211_9.304_NA",4.89670554532427,0.557128177528313,6,"Kruskal-Wallis rank sum test",0.752437520809184,"Nonsignificant"
"X44160_211.133_5.892_NA",4.89552639656233,0.557280924965563,6,"Kruskal-Wallis rank sum test",0.752532031752101,"Nonsignificant"
"X65542_277.179_8.492_NA",4.89420912625326,0.557451584208932,6,"Kruskal-Wallis rank sum test",0.752650698489399,"Nonsignificant"
"X55382_612.354_7.153_NA",4.89346392204332,0.557548138400787,6,"Kruskal-Wallis rank sum test",0.752669290919073,"Nonsignificant"
"X19998_444.186_3.866_NA",4.89236494782074,0.55769054164842,6,"Kruskal-Wallis rank sum test",0.752749763163218,"Nonsignificant"
"X86350_1148.324_11.15_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",4.89121129377579,0.557840045572215,6,"Kruskal-Wallis rank sum test",0.752839794321297,"Nonsignificant"
"X60120_233.117_7.745_NA",4.88966646204221,0.558040267462602,6,"Kruskal-Wallis rank sum test",0.752998235644105,"Nonsignificant"
"X79460_528.391_10.239_NA",4.88376204131625,0.558805784107027,6,"Kruskal-Wallis rank sum test",0.753919303917657,"Nonsignificant"
"X82258_692.457_10.571_NA",4.87927921014932,0.559387262918785,6,"Kruskal-Wallis rank sum test",0.754591838940296,"Nonsignificant"
"X5211_287.131_2.098_NA",4.87503580929001,0.559937901095764,6,"Kruskal-Wallis rank sum test",0.755222577772242,"Nonsignificant"
"X89136_743.469_11.916_NA",4.87215561630273,0.56031176430637,6,"Kruskal-Wallis rank sum test",0.755559523650544,"Nonsignificant"
"X40023_186.16_5.538_NA",4.87183087783922,0.560353923006557,6,"Kruskal-Wallis rank sum test",0.755559523650544,"Nonsignificant"
"X48208_277.143_6.352_NA",4.87030898301623,0.560551517112995,6,"Kruskal-Wallis rank sum test",0.755713878053284,"Nonsignificant"
"X28816_369.155_4.506_NA",4.86863106200121,0.560769399908956,6,"Kruskal-Wallis rank sum test",0.755895535058892,"Nonsignificant"
"X10728_280.154_3.112_NA",4.86303202373654,0.561496686622595,6,"Kruskal-Wallis rank sum test",0.756530117000002,"Nonsignificant"
"X17293_309.144_3.373_NA",4.86296040515651,0.561505991858239,6,"Kruskal-Wallis rank sum test",0.756530117000002,"Nonsignificant"
"X89591_778.561_11.977_NA",4.86260231225697,0.56155251892328,6,"Kruskal-Wallis rank sum test",0.756530117000002,"Nonsignificant"
"X15467_262.18_3.533_NA",4.86195774503778,0.56163627136414,6,"Kruskal-Wallis rank sum test",0.756530117000002,"Nonsignificant"
"X76584_646.325_9.946_NA",4.86180427665226,0.561656213126927,6,"Kruskal-Wallis rank sum test",0.756530117000002,"Nonsignificant"
"X90531_756.481_12.366_NA",4.86098054853372,0.561763253426447,6,"Kruskal-Wallis rank sum test",0.756562213028181,"Nonsignificant"
"X41567_307.153_5.67_NA",4.86029005524858,0.561852986388662,6,"Kruskal-Wallis rank sum test",0.75657099411222,"Nonsignificant"
"X41454_351.216_5.572_NA",4.85926949048496,0.561985623786927,6,"Kruskal-Wallis rank sum test",0.75663753760858,"Nonsignificant"
"X44265_372.253_5.903_NA",4.85686515244527,0.562298150165316,6,"Kruskal-Wallis rank sum test",0.756946221691302,"Nonsignificant"
"X28018_384.201_4.661_NA",4.8555325352977,0.562471398135158,6,"Kruskal-Wallis rank sum test",0.757067350384139,"Nonsignificant"
"X28959_227.128_4.599_NA",4.85413341518313,0.562653313765369,6,"Kruskal-Wallis rank sum test",0.757200107867782,"Nonsignificant"
"X54347_275.139_7.051_NA",4.8522201759771,0.562902112150951,6,"Kruskal-Wallis rank sum test",0.75730189756783,"Nonsignificant"
"X90534_694.495_12.367_NA;DG(20:4_18:0)",4.85177678817615,0.562959776445894,6,"Kruskal-Wallis rank sum test",0.75730189756783,"Nonsignificant"
"X10261_432.15_2.843_NA",4.85142981379181,0.563004903369289,6,"Kruskal-Wallis rank sum test",0.75730189756783,"Nonsignificant"
"X29496_423.164_4.643_NA",4.85098987108654,0.563062123576609,6,"Kruskal-Wallis rank sum test",0.75730189756783,"Nonsignificant"
"X32142_356.206_4.867_NA",4.85012021690204,0.563175239784398,6,"Kruskal-Wallis rank sum test",0.75734200268004,"Nonsignificant"
"X57079_309.219_7.355_NA",4.84867761407816,0.563362898621031,6,"Kruskal-Wallis rank sum test",0.757482323907485,"Nonsignificant"
"X51425_253.143_6.672_NA",4.84642674442398,0.563655746956828,6,"Kruskal-Wallis rank sum test",0.757638400210012,"Nonsignificant"
"X16962_277.118_3.387_NA",4.84595610804172,0.563716986162174,6,"Kruskal-Wallis rank sum test",0.757638400210012,"Nonsignificant"
"X20344_249.112_3.861_NA",4.84586402701041,0.563728968040116,6,"Kruskal-Wallis rank sum test",0.757638400210012,"Nonsignificant"
"X58125_405.19_7.407_NA",4.84462860650706,0.563889734212029,6,"Kruskal-Wallis rank sum test",0.757742456910401,"Nonsignificant"
"X12710_278.138_3.139_NA",4.83897841211365,0.564625218519214,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X51_309.974_0.544_NA",4.83885819521174,0.564640871042909,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X9641_312.144_2.755_NA",4.83882750153464,0.56464486745808,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X79477_538.301_10.242_NA",4.83873784097604,0.564656541611173,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X74801_357.205_9.742_NA",4.83728258645385,0.564846034084347,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X92068_1072.306_12.945_NA;Contaminant vial septum ThermoFisher C5000-44B",4.8369219357478,0.564892999041614,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X51690_293.138_6.701_NA",4.83490894209126,0.565155163684199,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X3882_268.118_1.924_NA",4.83464037241663,0.565190144625102,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X12714_364.233_3.14_NA",4.83454061796601,0.56520313775257,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
"X85472_656.459_10.94_NA",4.8341612811211,0.565252547817427,6,"Kruskal-Wallis rank sum test",0.758312885251174,"Nonsignificant"
